Time, Buy Exchange, Sell Exchange, Buy Price, Sell Price, Amount, Profit, Buy Exchange Ask List, Sell Exchange Bid List
"1/22/2016 1:08:15 PM","Kraken","Btce","379.91882","382.211","0.0525063","0.02834846","{379.91882, 10.387},{380.63999, 10.653},{380.64000, 9.283},{380.65219, 8.743},{381.43286, 7.099},{382.16000, 99.990},{382.17098, 105.345},{382.27999, 49.318},{382.91990, 1.600},{382.93154, 3.513}","{382.211, 0.062},{382.02, 16.49449855},{382.001, 0.01416541},{382, 12.85021927},{381.992, 0.01120852},{381.99, 0.01113053},{381.98, 0.04},{381.978, 0.01},{381.958, 1.85898453},{381.957, 0.01120722}"
"1/22/2016 1:08:31 PM","Kraken","Btce","379.91000","382.02","0.05250752","0.01880494","{379.91000, 9.250},{379.91882, 3.802},{380.65219, 8.743},{381.43286, 7.099},{382.16000, 99.990},{382.17098, 156.907},{382.27999, 49.318},{382.28000, 51.562},{382.28680, 51.562},{382.91990, 1.600}","{382.02, 4.49449855},{382.001, 0.01416541},{382, 11.85021927},{381.992, 0.01120852},{381.99, 0.01113053},{381.98, 0.04},{381.978, 0.01},{381.958, 1.80287574},{381.957, 0.01120722},{381.947, 0.016}"
"1/22/2016 1:08:39 PM","Kraken","Btce","379.91000","382.02","0.05250752","0.01880494","{379.91000, 9.250},{379.91881, 10.234},{379.91882, 3.802},{380.65219, 8.743},{381.43286, 7.099},{382.16000, 99.990},{382.17098, 156.907},{382.27999, 49.318},{382.28000, 51.562},{382.28680, 51.562}","{382.02, 4.48449855},{382.001, 0.01416541},{382, 11.85021927},{381.992, 0.01120852},{381.99, 0.01113053},{381.98, 0.04},{381.978, 0.01},{381.958, 1.80287574},{381.957, 0.01120722},{381.947, 0.016}"
"1/22/2016 1:08:47 PM","Kraken","Btce","379.91000","382.02","0.05250752","0.01880494","{379.91000, 9.250},{379.91882, 3.802},{380.65219, 8.743},{381.42000, 13.301},{381.43286, 7.099},{382.15999, 11.298},{382.16000, 99.990},{382.17098, 156.907},{382.27999, 49.318},{382.28000, 51.562}","{382.02, 4.47449855},{382.001, 0.01416541},{382, 11.85021927},{381.992, 0.01120852},{381.99, 0.01113053},{381.98, 0.04},{381.978, 0.01},{381.958, 1.80287574},{381.957, 0.01120722},{381.947, 0.016}"
"1/22/2016 1:08:54 PM","Kraken","Btce","379.91000","382.02","0.05250752","0.01880494","{379.91000, 9.250},{380.65219, 8.743},{381.43286, 7.099},{382.16000, 48.428},{382.17098, 56.918},{382.27999, 0.890},{382.91990, 1.600},{382.93154, 3.513},{383.66000, 46.739},{383.67000, 46.739}","{382.02, 4.45449855},{382.001, 0.01416541},{382, 11.85021927},{381.992, 0.01120852},{381.99, 0.01113053},{381.98, 0.04},{381.978, 0.01},{381.958, 1.80287574},{381.957, 0.01120722},{381.947, 0.016}"
"1/22/2016 1:09:06 PM","Kraken","Btce","379.89000","382","0.05251029","0.01881292","{379.89000, 9.295},{380.65219, 8.743},{381.43286, 43.136},{382.16000, 24.039},{382.17098, 32.529},{382.27999, 24.929},{382.91990, 1.600},{382.93154, 3.513},{383.12870, 10.768},{385.30000, 6.263}","{382, 10.60821091},{381.992, 0.01120852},{381.99, 0.01113053},{381.98, 0.04},{381.978, 0.01},{381.957, 0.01120722},{381.947, 0.016},{381.911, 0.03015},{381.909, 0.043199},{381.905, 1.80312594}"
"1/22/2016 1:15:57 PM","Kraken","Btce","377.97000","380.5","0.05277703","0.04149660","{377.97000, 8.734},{378.40776, 11.626},{379.04920, 39.402},{379.67000, 9.336},{379.68092, 0.030},{379.76999, 3.513},{379.79180, 12.653},{380.14999, 0.920},{380.92568, 8.980},{382.00701, 8.033}","{380.5, 83.84054461},{380.48, 0.1075},{380.479, 0.01114326},{380.459, 0.01336149},{380.434, 0.01},{380.405, 0.01120722},{380.341, 0.01},{380.326, 0.01119495},{380.311, 0.013385},{380.305, 0.01120852}"
"1/22/2016 1:16:03 PM","Kraken","Btce","377.96000","380.5","0.05277842","0.04202443","{377.96000, 9.355},{377.97000, 8.734},{378.40776, 11.626},{379.04920, 78.788},{379.68092, 0.030},{379.79180, 12.653},{380.92568, 8.980},{382.00701, 8.033},{382.91990, 1.600},{385.30000, 6.263}","{380.5, 83.07211618},{380.48, 0.1075},{380.479, 0.01114326},{380.459, 0.01336149},{380.434, 0.01},{380.405, 0.01120722},{380.341, 0.01},{380.326, 0.01119495},{380.311, 0.013385},{380.305, 0.01120852}"
"1/22/2016 1:16:10 PM","Kraken","Btce","377.96000","380.5","0.05277842","0.04202443","{377.96000, 9.355},{377.97000, 8.734},{378.40775, 3.513},{378.45783, 11.912},{379.04920, 78.788},{379.68092, 0.030},{379.79180, 12.653},{380.92568, 8.980},{382.00701, 8.033},{382.91990, 1.600}","{380.5, 83.07211618},{380.48, 0.1075},{380.479, 0.01114326},{380.459, 0.01336149},{380.434, 0.01},{380.405, 0.01120722},{380.341, 0.01},{380.326, 0.01119495},{380.311, 0.013385},{380.305, 0.01120852}"
"1/22/2016 1:16:16 PM","Kraken","Btce","377.96000","380.5","0.05277842","0.04202443","{377.96000, 9.355},{378.40775, 3.513},{379.68092, 0.030},{379.79180, 12.653},{380.92568, 8.980},{382.00701, 8.033},{382.91990, 1.600},{383.35685, 11.760},{385.30000, 6.263},{390.33232, 0.113}","{380.5, 73.06211618},{380.48, 0.1075},{380.479, 0.01114326},{380.459, 0.01336149},{380.434, 0.01},{380.405, 0.01120722},{380.341, 0.01},{380.326, 0.01119495},{380.311, 0.013385},{380.305, 0.01120852}"
"1/22/2016 1:16:24 PM","Kraken","Btce","377.96000","380.5","0.05277842","0.04203932","{377.96000, 20.934},{377.97000, 11.579},{378.40775, 3.513},{379.04920, 41.776},{379.68092, 0.030},{379.79180, 12.653},{380.92568, 8.980},{382.00701, 8.033},{382.91990, 1.600},{383.35685, 11.760}","{380.501, 0.01492139},{380.5, 16.64385662},{380.48, 0.1075},{380.479, 0.01114326},{380.459, 0.01336149},{380.434, 0.01},{380.405, 0.01120722},{380.341, 0.01},{380.326, 0.01119495},{380.311, 0.013385}"
"1/22/2016 1:16:30 PM","Kraken","Btce","377.96000","380.5","0.05277842","0.04202443","{377.96000, 20.934},{377.97000, 11.579},{378.40775, 3.513},{379.04920, 41.776},{379.68092, 0.030},{379.79180, 12.653},{380.92568, 8.980},{382.00701, 8.033},{382.91990, 1.600},{383.35685, 11.760}","{380.5, 16.63385662},{380.48, 0.1075},{380.479, 0.01114326},{380.459, 0.01336149},{380.434, 0.01},{380.405, 0.01120722},{380.341, 0.01},{380.326, 0.01119495},{380.311, 0.013385},{380.305, 0.01120852}"
"1/22/2016 1:16:37 PM","Kraken","Btce","377.96000","380.5","0.05277842","0.04202443","{377.96000, 20.934},{377.97000, 11.579},{378.40775, 3.513},{379.68092, 0.030},{379.79180, 12.653},{380.92568, 8.980},{382.00701, 8.033},{382.91990, 1.600},{383.35685, 11.760},{385.30000, 6.263}","{380.5, 16.52385662},{380.48, 0.1075},{380.479, 0.01114326},{380.459, 0.01336149},{380.434, 0.01},{380.405, 0.01120722},{380.341, 0.01},{380.326, 0.01119495},{380.311, 0.013385},{380.305, 0.01120852}"
"1/22/2016 1:16:43 PM","Kraken","Btce","377.96000","380.5","0.05277842","0.04202443","{377.96000, 9.355},{378.40775, 3.513},{379.68092, 0.030},{379.79180, 12.653},{380.92568, 8.980},{382.00701, 8.033},{382.91990, 1.600},{383.35685, 11.760},{385.30000, 6.263},{390.33232, 0.113}","{380.5, 16.52385662},{380.48, 0.1075},{380.479, 0.01114326},{380.459, 0.01336149},{380.434, 0.01},{380.405, 0.01120722},{380.341, 0.01},{380.326, 0.01119495},{380.311, 0.013385},{380.305, 0.01120852}"
"1/22/2016 1:16:51 PM","Kraken","Btce","377.96000","380.501","0.05277842","0.04207711","{377.96000, 25.343},{378.40775, 3.513},{379.66999, 1.100},{379.68092, 0.030},{379.79180, 12.653},{380.92568, 8.980},{382.00701, 8.033},{382.91990, 1.600},{383.35685, 11.760},{385.30000, 6.263}","{380.501, 0.40000008},{380.5, 16.52385662},{380.48, 0.1075},{380.479, 0.01114326},{380.459, 0.01336149},{380.434, 0.01},{380.405, 0.01120722},{380.341, 0.01},{380.326, 0.01119495},{380.311, 0.013385}"
"1/22/2016 1:16:57 PM","Kraken","Btce","377.96000","380.501","0.05277842","0.04207711","{377.96000, 15.988},{377.97000, 15.988},{378.40000, 9.335},{378.40775, 3.513},{379.04920, 47.569},{379.66999, 1.100},{379.68092, 0.030},{379.79180, 12.653},{380.92000, 13.377},{380.92568, 8.980}","{380.501, 0.40000008},{380.5, 16.52385662},{380.48, 0.1075},{380.479, 0.01114326},{380.459, 0.01336149},{380.434, 0.01},{380.405, 0.01120722},{380.341, 0.01},{380.326, 0.01119495},{380.311, 0.013385}"
"1/22/2016 1:17:04 PM","Kraken","Btce","377.95000","380.5","0.05277982","0.04255607","{377.95000, 9.326},{377.95999, 3.513},{377.96000, 15.988},{377.97000, 15.988},{379.04920, 47.569},{379.66999, 1.100},{379.68092, 0.030},{379.79180, 12.653},{380.92568, 8.980},{382.00701, 8.033}","{380.5, 16.2238567},{380.48, 0.1075},{380.479, 0.01114326},{380.459, 0.01336149},{380.434, 0.01},{380.405, 0.01120722},{380.341, 0.01},{380.326, 0.01119495},{380.311, 0.013385},{380.305, 0.01120852}"
"1/22/2016 1:17:10 PM","Kraken","Btce","377.95000","380.501","0.05277982","0.04260874","{377.95000, 9.326},{377.95999, 3.513},{377.96000, 15.988},{377.97000, 15.988},{379.04000, 6.453},{379.66999, 1.100},{379.68092, 0.030},{379.79180, 12.653},{380.92568, 8.980},{382.00701, 8.033}","{380.501, 0.25999998},{380.5, 16.2238567},{380.48, 0.1075},{380.479, 0.01114326},{380.459, 0.01336149},{380.434, 0.01},{380.405, 0.01120722},{380.341, 0.01},{380.326, 0.01119495},{380.311, 0.013385}"
"1/22/2016 1:17:16 PM","Kraken","Btce","377.95000","380.5","0.05277982","0.04255607","{377.95000, 9.326},{377.95999, 3.513},{379.04000, 13.347},{379.66999, 1.100},{379.68092, 0.030},{379.79180, 12.653},{380.92568, 8.980},{382.00701, 8.033},{382.91990, 1.600},{383.35685, 11.760}","{380.5, 16.2238567},{380.48, 0.1075},{380.479, 0.01114326},{380.459, 0.01336149},{380.434, 0.01},{380.405, 0.01120722},{380.341, 0.01},{380.326, 0.01119495},{380.311, 0.013385},{380.305, 0.01120852}"
